ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:32304,Renal,"submucosa of trigone"
EMAPA:32308,Renal,"submucosa of ventral pelvic urethra of female"
EMAPA:32298,Renal,"submucosa of ventral pelvic urethra of male"
EMAPA:32273,Renal,"superficial cell layer of bladder"
EMAPA:32266,Renal,"superficial cell layer of dorsal pelvic urethra of female"
EMAPA:32263,Renal,"superficial cell layer of dorsal pelvic urethra of male"
EMAPA:32268,Renal,"superficial cell layer of prostatic urethra"
EMAPA:28588,Renal,"superficial cell layer of ureter"
EMAPA:32291,Renal,"superficial cell layer of ventral pelvic urethra of female"
EMAPA:32284,Renal,"superficial cell layer of ventral pelvic urethra of male"
EMAPA:28361,Renal,"thin ascending limb of inner medulla"
EMAPA:35861,Renal,"thin ascending limb of medulla"
EMAPA:28328,Renal,"thin ascending limb of outer medulla"
EMAPA:28355,Renal,"thin descending limb of inner medulla"
EMAPA:29681,Renal,"thin descending limb of inner stripe of outer medulla"
EMAPA:28325,Renal,"thin descending limb of outer medulla"
EMAPA:27684,Renal,"upper limb of comma-shaped body"
EMAPA:27841,Renal,"upper limb of comma-shaped body"
EMAPA:18323,Renal,urachus
EMAPA:17950,Renal,ureter
EMAPA:35895,Renal,"ureter interstitium"
EMAPA:27711,Renal,"ureteral mesenchyme"
EMAPA:28567,Renal,"ureteral mesenchyme middle layer"
EMAPA:28570,Renal,"ureteral mesenchyme outer layer"
EMAPA:28561,Renal,"ureteral mesenchyme subepithelial layer"
EMAPA:29993,Renal,"ureteral mesenchyme, rest of"
EMAPA:28844,Renal,"ureteral smooth muscle layer"
EMAPA:28811,Renal,"ureteral smooth muscle layer"
EMAPA:29633,Renal,"ureteral smooth muscle layer inner longitudinal muscle"
EMAPA:28850,Renal,"ureteral smooth muscle layer interstitium"
EMAPA:30150,Renal,"ureteral smooth muscle layer interstitium"
EMAPA:29635,Renal,"ureteral smooth muscle layer outer circular muscle"
EMAPA:28847,Renal,"ureteral smooth muscle layer smooth muscle component"
EMAPA:28814,Renal,"ureteral smooth muscle layer smooth muscle component"
EMAPA:30850,Renal,"ureteral vasculature"
EMAPA:17376,Renal,"ureteric bud"
EMAPA:17209,Renal,"ureteric bud"
EMAPA:27627,Renal,"ureteric stalk"
EMAPA:27608,Renal,"ureteric stalk"
EMAPA:27605,Renal,"ureteric tip"
EMAPA:27749,Renal,"ureteric tip"
EMAPA:27625,Renal,"ureteric tip"
EMAPA:27694,Renal,"ureteric tip"
EMAPA:31045,Renal,"ureteric tree terminal branch excluding tip itself"
EMAPA:28494,Renal,"ureteric trunk"
EMAPA:27697,Renal,"ureteric trunk"
EMAPA:28405,Renal,"ureteric trunk"
EMAPA:30891,Renal,urethra
EMAPA:30901,Renal,urethra
EMAPA:28747,Renal,"urethra of female"
EMAPA:18692,Renal,"urethra of male"
EMAPA:35896,Renal,"urethra urothelium"
EMAPA:30888,Renal,"urethral fold"
EMAPA:30899,Renal,"urethral fold"
EMAPA:30927,Renal,"urethral fold of female"
EMAPA:18693,Renal,"urethral fold of male"
EMAPA:30915,Renal,"urethral fold of phallic urethra"
EMAPA:30897,Renal,"urethral plate"
EMAPA:28555,Renal,"urethral plate"
EMAPA:30924,Renal,"urethral plate of female"
EMAPA:18998,Renal,"urethral plate of male"
EMAPA:30913,Renal,"urethral plate of phallic urethra"
EMAPA:28263,Renal,"urinary space of mature renal corpuscle"
EMAPA:27985,Renal,"urinary space of maturing renal corpuscle"
