ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:35180,"Whole mouse",bowel
EMAPA:35181,"Whole mouse","bowel wall"
EMAPA:28257,"Whole mouse","Bowman's capsule of mature renal corpuscle"
EMAPA:27973,"Whole mouse","Bowman's capsule of maturing renal corpuscle"
EMAPA:16988,"Whole mouse","brachial plexus"
EMAPA:19068,"Whole mouse",brachialis
EMAPA:19109,"Whole mouse",brachialis
EMAPA:16894,"Whole mouse",brain
EMAPA:32661,"Whole mouse","brain arachnoid mater"
EMAPA:35182,"Whole mouse","brain blood vessel"
EMAPA:32668,"Whole mouse","brain dura mater"
EMAPA:35183,"Whole mouse","brain ependyma"
EMAPA:32676,"Whole mouse","brain floor plate"
EMAPA:35184,"Whole mouse","brain grey matter"
EMAPA:32681,"Whole mouse","brain mantle layer"
EMAPA:32680,"Whole mouse","brain marginal layer"
EMAPA:32662,"Whole mouse","brain meninges"
EMAPA:35185,"Whole mouse","brain nucleus"
EMAPA:32667,"Whole mouse","brain pia mater"
EMAPA:32666,"Whole mouse","brain subarachnoid space"
EMAPA:32804,"Whole mouse","brain subventricular zone"
EMAPA:35186,"Whole mouse","brain vascular element"
EMAPA:18631,"Whole mouse","brain venous system"
EMAPA:32674,"Whole mouse","brain ventricle"
EMAPA:32679,"Whole mouse","brain ventricular layer"
EMAPA:35187,"Whole mouse","brain white matter"
EMAPA:32678,"Whole mouse",brainstem
EMAPA:32790,"Whole mouse","brainstem nucleus"
EMAPA:35188,"Whole mouse","brainstem reticular formation"
EMAPA:35189,"Whole mouse","brainstem white matter"
EMAPA:16117,"Whole mouse","branchial arch"
EMAPA:16684,"Whole mouse","branchial arch artery"
EMAPA:32753,"Whole mouse","branchial arch ectoderm"
EMAPA:32754,"Whole mouse","branchial arch endoderm"
EMAPA:35401,"Whole mouse","branchial arch epithelium"
EMAPA:32749,"Whole mouse","branchial arch membrane"
EMAPA:32755,"Whole mouse","branchial arch mesenchyme"
EMAPA:32751,"Whole mouse","branchial arch mesenchyme derived from head mesoderm"
EMAPA:32756,"Whole mouse","branchial arch mesenchyme derived from neural crest"
EMAPA:32750,"Whole mouse","branchial groove"
EMAPA:35190,"Whole mouse","branchial groove ectoderm"
EMAPA:35567,"Whole mouse","branchial groove epithelium"
EMAPA:16992,"Whole mouse","branchial membrane"
EMAPA:16993,"Whole mouse","branchial membrane epithelium"
EMAPA:32752,"Whole mouse","branchial pouch"
EMAPA:35191,"Whole mouse","branchial pouch endoderm"
EMAPA:18608,"Whole mouse","bronchial artery"
EMAPA:32697,"Whole mouse",bronchiole
EMAPA:32693,"Whole mouse","bronchiole epithelium"
EMAPA:32689,"Whole mouse",bronchus
EMAPA:35192,"Whole mouse","bronchus cartilage"
EMAPA:35193,"Whole mouse","bronchus connective tissue"
EMAPA:32691,"Whole mouse","bronchus epithelium"
EMAPA:35194,"Whole mouse","bronchus lamina propria"
EMAPA:32690,"Whole mouse","bronchus mesenchyme"
EMAPA:35195,"Whole mouse","bronchus smooth muscle"
EMAPA:19209,"Whole mouse","brown fat"
EMAPA:16259,"Whole mouse","buccopharyngeal membrane"
EMAPA:16260,"Whole mouse","buccopharyngeal membrane ectoderm"
EMAPA:16261,"Whole mouse","buccopharyngeal membrane endoderm"
EMAPA:18245,"Whole mouse","bulbar cushion"
EMAPA:17866,"Whole mouse","bulbar cushion"
EMAPA:29639,"Whole mouse","bulbar part of urethra of male"
EMAPA:17867,"Whole mouse","bulbar ridge"
EMAPA:17332,"Whole mouse","bulbar ridge"
EMAPA:19286,"Whole mouse","bulbourethral gland"
EMAPA:16693,"Whole mouse","bulboventricular groove"
EMAPA:17865,"Whole mouse","bulboventricular region"
EMAPA:16333,"Whole mouse","bulbus cordis"
EMAPA:16334,"Whole mouse","bulbus cordis caudal half"
EMAPA:16335,"Whole mouse","bulbus cordis caudal half cardiac jelly"
EMAPA:16337,"Whole mouse","bulbus cordis caudal half cardiac muscle"
EMAPA:16694,"Whole mouse","bulbus cordis caudal half endocardial lining"
EMAPA:16336,"Whole mouse","bulbus cordis caudal half endocardial tube"
EMAPA:16338,"Whole mouse","bulbus cordis rostral half"
EMAPA:16339,"Whole mouse","bulbus cordis rostral half cardiac jelly"
EMAPA:16341,"Whole mouse","bulbus cordis rostral half cardiac muscle"
EMAPA:16695,"Whole mouse","bulbus cordis rostral half endocardial lining"
EMAPA:16340,"Whole mouse","bulbus cordis rostral half endocardial tube"
